GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "54000","West Virginia",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",37130579,38078587,40251566,42750333,44243165,44952808,46551205,48854253,52146960,54184672,57958900,58487453,60532086,64059017,65488403,65152569,67156751,68437802,68067852,70797616,74235000,76746554,80740963,87617398,88744908
 "54000","West Virginia",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854409,1857326,1858745,1856642,1853014,1846341,1835998,1822785,1810588,1800430,1791420,1785526,1775156
 "54000","West Virginia",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",20451,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35092,36242,37067,37074,38840,41000,42627,45071,49071,49993
 "54000","West Virginia",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",24934470,25907045,27406301,28659645,29411513,30011569,31544893,33311917,35261670,35569125,37158538,36954076,38124713,40288257,41350578,41460579,41961341,42154633,41095822,43083066,46291659,46921444,45477558,48494379,51154417
 "54000","West Virginia",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3720719,3826208,4141034,4114559,4049565,4240307,4367438,4556422,4623531,4503395,4543954,4596389,4700896,4379822,4497827,5040011,5202372,5257452,5278315,5511503,5838456,5841494,5894893,6193930,6577013
 "54000","West Virginia",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1544870,1604918,1658166,1754041,1772024,1852904,1952892,2067815,2214961,2335078,2466040,2473924,2532075,2116241,2162554,2715940,2816136,2843397,2856672,3027181,3231707,3249491,3305489,3495195,3775381
 "54000","West Virginia",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2175849,2221290,2482868,2360518,2277541,2387403,2414546,2488607,2408570,2168317,2077914,2122465,2168821,2263581,2335273,2324071,2386236,2414055,2421643,2484322,2606749,2592003,2589404,2698735,2801632
 "54000","West Virginia",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",438830,500815,625245,772281,816229,960434,1089376,1288434,1336711,1485808,1441294,1328554,1459485,1468037,1215330,1255348,1469412,1468384,1714709,1618996,1233255,1726834,2164932,2320148,2780951
 "54000","West Virginia",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",21652581,22581652,23890512,25317367,26178177,26731696,28266831,30043929,31974850,32551538,34055878,33686241,34883302,37376472,38068081,37675916,38228381,38365565,37532216,39190559,41686458,42806784,41747597,44620597,47358355
 "54000","West Virginia",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6805206,6644022,7073675,7171884,6978145,6860080,6924987,7015519,7571504,8302417,9114378,8836080,8807721,9710468,10121290,9837535,10330635,10641391,10598263,11027777,11463279,12203902,12379647,13439183,14813669
