GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States *", ,SAINC51,51,"...","Disposable personal income (millions of dollars) ","Millions of dollars",192363.0,192342.0,213991.6,235454.7,248561.8,264125.9,270324.0,289463.3,309674.5,327325.2,337794.3,358209.8,371767.0,388943.0,412591.0,433368.0,470690.0,506937.0,546533.0,584097.0,634507.0,687425.0,753099.0,823437.0,893321.0,1001571.0,1094397.0,1215359.0,1323488.0,1454268.0,1626753.0,1805040.0,2015208.0,2246114.0,2423869.0,2617374.0,2898442.0,3091714.0,3281021.0,3443399.0,3759653.0,4038619.0,4304023.0,4484825.0,4794802.0,4995852.0,5241737.0,5530555.0,5824654.0,6137540.0,6552573.0,6867565.0,7384984.0,7752177.0,8095517.0,8472238.0,8961305.0,9329615.0,9935978.0,10434213.0,10917599.0,10907346.0,11311497.0,11848163.0,12398279.0,12387353.0,12994137.0,13527926.0,13927450.0,14611591.0,15442207.0,16146403.0,17355580.0,18651847.0,18684871.0
 "00000","United States *", ,SAINC51,52,"...","Population (persons) 1/","Number of persons",146091000,148666000,151871000,153970000,156369000,158946000,161881000,165058000,168078000,171178000,174153000,177136000,179972000,182976000,185739000,188434000,191085000,193460000,195499000,197375000,199312000,201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331511512,332031554,333287557
 "00000","United States *", ,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1317,1294,1409,1529,1590,1662,1670,1754,1842,1912,1940,2022,2066,2126,2221,2300,2463,2620,2796,2959,3183,3415,3695,3981,4269,4739,5130,5641,6083,6618,7324,8038,8869,9788,10463,11195,12291,12995,13663,14212,15377,16363,17242,17728,18692,19221,19921,20770,21621,22511,23754,24611,26173,27204,28146,29204,30605,31571,33300,34639,35902,35555,36562,37994,39442,39109,40700,42034,42937,44735,47002,48894,52353,56175,56062
 "01000","Alabama",5,SAINC51,51,"...","Disposable personal income (millions of dollars) ","Millions of dollars",2464.5,2376.4,2655.0,3038.4,3224.0,3360.3,3268.8,3686.2,3938.6,4169.8,4349.1,4567.8,4742.2,4919.8,5135.3,5456.9,5958.8,6451.5,6861.0,7247.1,7863.9,8650.7,9593.4,10603.4,11692.7,13165.6,14579.2,16413.8,18298.5,20138.0,22728.8,25117.0,27629.9,30595.1,32629.0,34959.2,38585.8,41251.9,43671.8,45851.9,49827.1,53867.0,57404.2,60995.9,65686.6,68613.0,72341.4,76283.6,79404.0,83239.5,88548.4,91473.6,95839.8,99375.0,103906.5,109568.8,117627.3,123206.1,130008.0,136204.2,141827.1,143231.0,148862.1,152835.4,157273.8,157600.0,162978.1,169520.5,172173.6,179134.7,187334.2,195208.0,210513.8,228206.2,229599.5
 "01000","Alabama",5,SAINC51,52,"...","Population (persons) 1/","Number of persons",2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5031362,5049846,5074296
 "01000","Alabama",5,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",830,792,868,993,1051,1101,1085,1209,1283,1341,1375,1426,1448,1484,1545,1625,1755,1874,1981,2096,2282,2515,2781,3032,3303,3677,4019,4460,4896,5324,5928,6491,7084,7808,8313,8886,9764,10384,10941,11419,12383,13366,14174,14880,15813,16281,16981,17754,18333,19057,20103,20648,21527,22243,23193,24330,25962,26961,28086,29148,30060,30104,31091,31760,32500,32399,33351,34538,34919,36173,37645,39015,41840,45191,45248
 "02000","Alaska *",8,SAINC51,51,"...","Disposable personal income (millions of dollars) ","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),724.1,720.2,745.4,805.4,919.7,978.7,1044.2,1137.2,1223.4,1368.7,1589.2,1762.6,1900.7,2226.3,2634.4,3552.8,4167.1,4345.8,4558.8,4768.2,5506.9,6127.7,7611.0,8387.3,9021.5,9823.6,10042.9,9522.0,10009.7,10787.3,11366.6,11983.2,12807.6,13486.3,13898.5,14309.4,14663.1,15453.2,16187.6,16719.1,17933.0,18968.7,20293.0,21450.3,22543.5,23868.0,25276.3,26972.1,29693.1,30530.9,32703.9,34789.2,35945.3,35184.4,37075.5,38075.3,37704.1,38525.4,40309.8,41045.3,42025.7,44143.4,45685.6
 "02000","Alaska *",8,SAINC51,52,"...","Population (persons) 1/","Number of persons",(NA),(NA),135000,158000,189000,205000,215000,222000,224000,231000,224000,224000,229000,238000,246000,256000,263000,271000,271000,278000,285000,296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732923,734182,733583
 "02000","Alaska *",8,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3162,3026,3030,3146,3497,3612,3853,4091,4293,4624,5222,5569,5822,6681,7643,9577,10600,10937,11335,11816,13587,14642,16928,17172,17562,18448,18452,17656,18469,19715,20544,21016,21754,22498,23037,23675,24094,25210,26112,26760,28557,29933,31592,33081,34194,35787,37430,39647,43193,43684,45803,48150,49166,47672,50262,51514,50718,51925,54641,55857,57340,60126,62277
 "04000","Arizona",6,SAINC51,51,"...","Disposable personal income (millions of dollars) ","Millions of dollars",863.6,900.6,986.4,1205.9,1346.5,1448.7,1507.1,1651.1,1851.0,2022.9,2153.8,2362.3,2563.2,2806.1,3009.9,3166.4,3453.3,3659.4,3963.2,4285.8,4881.6,5590.3,6408.5,7417.1,8420.4,9828.2,11023.6,12173.0,13436.7,14989.5,17461.5,20375.5,23561.6,26640.8,28492.9,31704.6,35806.7,39684.6,43473.5,46548.4,50777.7,54211.2,56860.5,60065.2,64247.2,68897.9,75214.3,81932.3,87819.2,94893.6,103265.8,109324.1,118337.5,124820.6,132597.0,141828.8,154311.8,167738.1,184940.1,195625.4,201198.3,195955.8,198815.2,206128.2,214865.8,218160.9,228628.0,239543.4,250636.5,266666.0,283699.5,302159.1,337272.5,364326.7,377143.3
