GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",51733004,55979750,60352000,63852000,69411000,74675000,81134000,87906000,93810000,100042000,107536000,119140000,133564000,145252000,157674000,176992000,202399000,221762000,238786000,265688000,300292000,341061000,414426000,505334000,576198000,621999000,698585000,747566000,781305000,789453000,867103000,977659000,1029004000,1043003000,1052874000,1089143000,1154765000,1251073000,1329021000,1411201000,1516041000,1512058000,1636473000,1661673000,1608189000,1659306000,1738099000,1854178000,2076789000,2288133000,2438478000,2182454000,2177445000,2408638000,2633469000,2557205000,2771030000,2941428000,3030442000,3249424000,3455566000,3628959000,3664844000,4024286000,4304995000
 "00000","United States", ,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",11599710,12606964,13366000,13901000,15027000,16236000,18194000,20205000,20670000,21510000,23535000,24239000,24307000,25027000,26836000,29880000,33187000,32922000,38971000,44723000,50728000,57657000,64196000,69733000,73124000,81986000,85810000,93794000,103121000,101967000,127971000,157486000,169718000,181009000,189267000,205119000,237329000,259191000,302412000,337747000,358433000,348451000,386364000,374403000,401469000,431191000,559353000,555014000,683557000,780024000,805647000,565625000,536606000,690394000,831710000,781616000,916991000,996814000,1027392000,1144231000,1234850000,1346436000,1403429000,1699133000,1804538000
 "00000","United States", ,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",25284894,27755897,30523000,32751000,36337000,39712000,44109000,48363000,53230000,58186000,63905000,74554000,88593000,98396000,108118000,123996000,146032000,166548000,179505000,205099000,233019000,267312000,331251000,411821000,479242000,515577000,588121000,627569000,659916000,670891000,716640000,798650000,831119000,823417000,803035000,793943000,803770000,866999000,884081000,926395000,992403000,985110000,1066634000,1084869000,998272000,1001018000,935964000,1078057000,1212111000,1321850000,1342556000,1269236000,1207168000,1211703000,1267291000,1196902000,1255536000,1343262000,1384326000,1463165000,1549227000,1598041000,1505269000,1510977000,1622187000
 "00000","United States", ,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",12152385,13664317,14942000,16276000,17754000,19070000,20938000,22491000,24493000,26965000,29873000,35605000,44124000,49970000,55617000,62184000,72017000,88252000,93675000,104485000,118353000,124254000,145646000,165461000,199445000,243047000,259813000,294552000,320267000,343769000,362079000,387178000,407780000,424861000,441209000,457403000,463604000,499943000,505922000,540841000,542146000,549534000,576320000,579873000,587437000,611759000,615563000,645193000,687511000,724661000,767921000,781248000,767494000,778885000,789417000,767616000,805431000,848289000,851286000,876407000,910236000,922753000,877196000,866474000,905664000
 "00000","United States", ,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",13132509,14091580,15581000,16475000,18583000,20642000,23171000,25872000,28737000,31221000,34032000,38949000,44469000,48426000,52501000,61812000,74015000,78296000,85830000,100614000,114666000,143058000,185605000,246360000,279797000,272530000,328308000,333017000,339649000,327122000,354561000,411472000,423339000,398556000,361826000,336540000,340166000,367056000,378159000,385554000,450257000,435576000,490314000,504996000,410835000,389259000,320401000,432864000,524600000,597189000,574635000,487988000,439674000,432818000,477874000,429286000,450105000,494973000,533040000,586758000,638991000,675288000,628073000,644503000,716523000
 "00000","United States", ,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",14848400,15616889,16463000,17200000,18047000,18727000,18831000,19338000,19910000,20346000,20096000,20347000,20664000,21829000,22720000,23116000,23180000,22292000,20310000,15866000,16545000,16092000,18979000,23780000,23832000,24436000,24654000,26203000,18268000,16595000,22492000,21523000,28167000,38577000,60572000,90081000,113666000,124883000,142528000,147059000,165205000,178497000,183475000,202401000,208448000,227097000,242782000,221107000,181121000,186259000,290275000,347593000,433671000,506541000,534468000,578687000,598503000,601352000,618724000,642028000,671489000,684482000,756146000,814176000,878270000
 "00000","United States", ,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",9187592,10113562,10993000,11664000,12462000,12911000,13057000,13389000,13920000,14438000,14101000,14414000,14508000,15482000,15311000,14544000,14851000,13900000,11999000,7048000,7139000,5727000,5632000,5770000,2147000,1261000,-1181000,-4181000,-9460000,-9849000,-3586000,-3339000,-68000,5798000,19744000,42601000,62165000,68533000,82712000,84953000,101291000,115188000,120853000,134779000,146074000,161616000,172667000,143409000,104959000,107857000,188862000,249851000,318926000,375466000,391322000,430513000,439287000,454770000,478299000,506845000,524396000,537191000,593893000,624580000,667297000
 "00000","United States", ,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",5660808,5503327,5470000,5536000,5585000,5816000,5774000,5949000,5990000,5908000,5995000,5933000,6156000,6347000,7409000,8572000,8329000,8392000,8311000,8818000,9406000,10365000,13347000,18010000,21685000,23175000,25835000,30384000,27728000,26444000,26078000,24862000,28235000,32779000,40828000,47480000,51501000,56350000,59816000,62106000,63914000,63309000,62622000,67622000,62374000,65481000,70115000,77698000,76162000,78402000,101413000,97742000,114745000,131075000,143146000,148174000,159216000,146582000,140425000,135183000,147093000,147291000,162253000,189596000,210973000
 "01000","Alabama",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",466283,511872,560967,596064,643055,687136,749974,802552,833472,886106,969773,1153840,1365531,1533645,1671998,1895938,2211393,2475742,2705470,3024327,3479915,3949983,4810198,5839737,6540683,7002209,7814507,8463931,8931354,9235559,10255561,11740625,12360049,12738945,12991220,13470365,14492361,15858255,16402312,17544652,18784453,18583576,19904159,20252453,19907565,20884439,22765234,23833852,25794364,28042582,30171163,27280776,27803993,28991482,30726615,29948273,31182508,32794975,33393090,35473784,36450100,38339881,38935489,42533839,46205259
 "01000","Alabama",5,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",67772,79030,86395,85864,92673,98685,117498,133232,135770,145401,148908,160555,170057,183652,205070,239948,279036,295910,345933,396840,462191,533066,580081,624212,649938,768192,798668,918942,1023334,1083767,1410109,1717894,1857855,2041924,2195608,2428307,2905490,3173257,3579802,3887674,4166249,3968604,4298800,4083379,4576978,5179415,7505409,7207288,8396217,9565591,9959925,7030325,6675492,7981655,9376325,8910631,9638770,10503729,10561606,11662906,12039720,12860607,13886197,16989808,19100579
