GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "41000","Oregon",8,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",47926280,50950564,55205663,55728283,55853259,57246646,60498695,64329116,68963196,72686588,73776986,69789201,70864510,73913575,77113080,80131781,85061069,91061601,95882084,101333595,107247100,112996178,115834990,126325259,135183634
 "41000","Oregon",8,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",550766,619035,632868,630350,588062,607045,663897,774484,757899,864822,822980,930570,817236,820513,805691,898731,868225,730836,837617,926292,923236,783767,988612,1079857,880765
 "41000","Oregon",8,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",47375514,50331529,54572795,55097933,55265197,56639601,59834798,63554632,68205297,71821766,72954006,68858631,70047274,73093062,76307389,79233050,84192844,90330765,95044467,100407303,106323864,112212411,114846378,125245402,134302869
 "41000","Oregon",8,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",39447718,41967206,45651162,45730430,45555679,46746751,49560678,52828416,57032272,60082824,60505849,55985317,56953562,59898547,63077794,65812661,70258898,75734221,79753413,84403009,89575019,94526076,96753250,105997820,113812008
 "41000","Oregon",8,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",478931,500398,536927,543298,600261,609613,592914,622269,641658,673186,687106,590992,603488,642317,705809,766194,814384,882988,867948,888139,974698,930908,1029053,1127436,1127371
 "41000","Oregon",8,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",283967,288975,299454,301985,316615,318020,329251,334844,331034,337969,329250,264181,255855,277888,308730,340500,360179,371383,354125,314082,337528,323729,328369,345965,361804
 "41000","Oregon",8,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",36893,38854,41702,24339,25490,25844,25828,26597,27505,28869,30659,30174,27679,29692,29195,32473,33540,35895,39445,39370,39643,38369,37688,37984,39360
 "41000","Oregon",8,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",158071,172569,195771,216974,258156,265749,237835,260828,283119,306348,327197,296637,319954,334737,367884,393221,420665,475710,474378,534687,597527,568810,662996,743487,726207
 "41000","Oregon",8,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",69249,73863,75584,66177,70112,73176,78785,90782,100080,105781,94994,76425,71609,77456,76651,77259,79199,91551,100477,108556,118684,116791,116732,125027,126306
 "41000","Oregon",8,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),615,874,490,224,305,373,(D),(D),(D),(D),(D),0,0,0,0,0,0
 "41000","Oregon",8,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",63572,67558,68608,64821,68372,71542,77839,89439,96593,102429,91737,70303,65341,68862,70623,71692,74785,87011,96254,104281,113232,111181,110396,118443,117322
 "41000","Oregon",8,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),2872,2478,2767,5898,5963,8221,(D),(D),(D),(D),(D),4275,5452,5610,6336,6584,8984
 "41000","Oregon",8,SAINC7N,300,"22","   Utilities ","Thousands of dollars",291881,298030,318950,328489,342640,343368,366111,341725,367650,378600,387760,398430,383478,390276,404282,402896,422743,431553,449596,481693,505765,538328,571785,580951,623858
 "41000","Oregon",8,SAINC7N,400,"23","   Construction ","Thousands of dollars",3075385,3177236,3445182,3310371,3231546,3115302,3350555,3770987,4418039,4749276,4474169,3572732,3282678,3457901,3654863,3951454,4401605,4605236,5197020,5853968,6571988,7157973,7477729,8024315,8992087
 "41000","Oregon",8,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",786499,802679,847327,809860,800542,777982,824658,955508,1140959,1215094,1126732,874426,767060,819002,850924,976767,1094391,1214041,1351216,1583427,1792424,1974951,2099052,2227161,2500348
 "41000","Oregon",8,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",444288,465032,488819,480576,469179,479460,512962,549186,634286,691051,653844,574516,577295,596274,537934,566847,586945,621273,658463,696332,762235,825500,847312,875107,945117
 "41000","Oregon",8,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",1844598,1909525,2109036,2019935,1961825,1857860,2012935,2266293,2642794,2843131,2693593,2123790,1938323,2042625,2266005,2407840,2720269,2769922,3187341,3574209,4017329,4357522,4531365,4922047,5546622
 "41000","Oregon",8,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",8771854,9191711,9897628,9659733,8953230,8979266,9583981,10058170,10585761,10836154,10673676,9219031,9668992,10391450,10962029,11105662,11782173,12515746,12979773,13224260,14104125,14499319,14258761,15001050,16448988
 "41000","Oregon",8,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",6865623,7251192,7883453,7740632,7062317,7059171,7613903,8052675,8501813,8685540,8502764,7171427,7615741,8300785,8797006,8844815,9420661,9950836,10343892,10410162,11211546,11458835,11180523,11744794,13046846
 "41000","Oregon",8,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",1178264,1235211,1256210,1167166,1164477,1173800,1279055,1312464,1309772,1215556,1086297,871824,865706,848871,905090,994870,1050825,1082230,1128159,1174582,1256104,1251228,1263293,1443490,1550962
 "41000","Oregon",8,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",191115,187896,200602,210670,201277,205299,220564,242824,242043,249850,241672,196594,198459,203121,204489,214456,230883,252154,269334,288620,307577,300102,287237,300443,336137
 "41000","Oregon",8,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",411844,417655,466939,475779,425624,396349,424616,480442,561455,619636,629299,496843,510906,576932,593955,588266,581418,599079,591315,599956,721135,718307,579104,542680,621162
 "41000","Oregon",8,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",598524,609522,655110,601005,539454,556989,606133,653440,702740,739186,767363,634116,653421,706973,756709,769424,784447,826504,845665,863961,929228,969277,945689,1035844,1073415
 "41000","Oregon",8,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",588820,585769,657019,623439,577497,569151,607146,610383,646050,694589,676859,554775,588974,679363,740083,770169,802994,835419,862381,964967,1079593,1106773,1107516,1230546,1337596
 "41000","Oregon",8,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",2794653,3058982,3408515,3460208,2984594,2993867,3194503,3360568,3538871,3657406,3650596,3264259,3650978,4047945,4291986,4186306,4543607,4827814,5078031,4884249,5227024,5341605,5327070,5492871,6280737
 "41000","Oregon",8,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",86957,93282,109772,127026,90426,92938,96181,100756,120527,119625,126203,117129,121239,133635,146766,140113,147779,154874,151268,195569,182171,181772,176628,183348,195777
 "41000","Oregon",8,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",311936,346557,365855,335012,354378,341046,396776,442257,451160,429205,337336,203808,220182,235170,247724,227169,238455,(D),(D),(D),284964,276419,259963,288670,326217
 "41000","Oregon",8,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",257974,263952,281970,265914,244241,240880,254768,281437,321067,346218,369153,321346,324463,367871,390957,409464,456725,(D),(D),(D),500472,559873,490755,430607,457010
 "41000","Oregon",8,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",198392,211269,226356,223064,224810,228601,244836,261037,283161,267687,240038,181381,165092,169208,177731,187121,206878,231640,272430,270901,285404,291229,280432,296435,310958
