GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "97000","Rocky Mountain",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",154435895,166871735,184616547,192069760,194039308,199486490,211182589,225203663,243668271,260480259,269203713,260661644,264196262,274255102,287885480,300403709,317891031,333858582,345266773,366149881,390049321,414436947,429897810,470171831,510828125
 "97000","Rocky Mountain",7,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",127635125,138045340,152762071,158114221,158899541,162346190,171567796,182595302,198138908,212698188,219791244,211345518,214095379,222925714,234835232,243474741,258649114,272652976,282194738,299427463,318570289,340156296,354238564,389493410,426032351
 "97000","Rocky Mountain",7,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",26800770,28826395,31854476,33955539,35139767,37140300,39614793,42608361,45529363,47782071,49412469,49316126,50100883,51329388,53050248,56928968,59241917,61205606,63072035,66722418,71479032,74280651,75659246,80678421,84795774
 "97000","Rocky Mountain",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",17309436,18750991,20843360,22420963,22965396,24508395,25964627,27951788,29681492,31113817,32258070,32855999,33285818,33383084,34284323,37696482,38847677,40003527,41375972,43976036,47791601,49407107,49778702,52751399,53905528
 "97000","Rocky Mountain",7,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",9491334,10075404,11011116,11534576,12174371,12631905,13650166,14656573,15847871,16668254,17154399,16460127,16815065,17946304,18765925,19232486,20394240,21202079,21696063,22746382,23687431,24873544,25880544,27927022,30890246
 "97000","Rocky Mountain",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34748,36493,39099,40351,41096,42405,44086,45777,47932,49915,51318,52107,53249,54440,55881,56852,58495,59785,60494,62653,65073,67447,72183,75875,79257
 "97000","Rocky Mountain",7,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",1013905,1033286,1150407,1185839,1328025,1194285,1293253,1452326,1416086,1681323,1602911,1749806,1551430,1534507,1821376,2058930,2028300,1657649,1925878,2131277,2071385,1528544,2193261,2379707,2112625
 "97000","Rocky Mountain",7,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",153421990,165838449,183466140,190883921,192711283,198292205,209889336,223751337,242252185,258798936,267600802,258911838,262644832,272720595,286064104,298344779,315862731,332200933,343340895,364018604,387977936,412908403,427704549,467792124,508715500
 "97000","Rocky Mountain",7,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",122914254,133461995,148845302,153705016,152817435,156182748,165608218,177158805,193564146,207698596,213490580,202542124,204505709,213922729,226757646,237429185,252737415,266645254,275031531,293394519,314170434,336259168,347518358,383684822,421328979
 "97000","Rocky Mountain",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",423836,433937,442469,428845,451987,459978,517170,511904,565042,577268,579465,595289,617375,649685,700384,739114,800184,860976,889065,(D),991496,1031280,(D),1149245,1166679
 "97000","Rocky Mountain",7,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",150210,150159,152341,138907,(D),(D),(D),156867,159883,161902,134998,101048,(D),(D),(D),123684,(D),138006,(D),133716,142464,134436,(D),(D),(D)
 "97000","Rocky Mountain",7,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",14801,16085,14110,9661,(D),(D),(D),6787,9960,11817,12364,12127,(D),(D),(D),17417,(D),18661,(D),(D),22583,24004,(D),(D),(D)
 "97000","Rocky Mountain",7,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",258825,267693,276018,280277,295150,317196,350204,348250,395199,403549,432103,482114,494629,521904,570402,598013,651097,704309,733306,787161,826449,872840,970392,976275,997230
 "97000","Rocky Mountain",7,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2559784,2575674,2736197,3178299,2913729,3078437,3811284,4432666,5695245,6514222,7713451,6340661,6782937,7871581,8665395,8860863,9547830,8617102,6813357,7453375,8285516,8448344,7081482,6782347,7998464
 "97000","Rocky Mountain",7,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",577608,561364,677275,(D),(D),(D),(D),(D),1423691,1655353,(D),1891152,2117564,2366200,2559637,2843284,3106011,3089826,2578697,2531579,2649754,2776280,2575360,2149684,2526608
 "97000","Rocky Mountain",7,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",1481422,1546860,1462264,1492329,1476285,1449087,1575485,1698686,2008794,2168123,2360428,2192816,2307180,2475205,2597247,2570488,2501351,2490074,2272149,2317573,2489952,2497914,2449536,2599316,2796072
