GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01000","Alabama",5,SAACArtsComp,1,"...","Total compensation ","Thousands of dollars",72064289,74181781,77119173,81625109,86396868,91146699,95286214,97638925,95339018,96826713,98908702,100368737,102185571,106012916,109997113,112843420,116597407,121579793,126983204,129901405,139002079
 "01000","Alabama",5,SAACArtsComp,10,"...","Total ACPSA compensation ","Thousands of dollars",2354168,2498739,2426850,2453794,2468050,2411269,2384129,2401892,2321534,2334668,2363341,2322372,2338240,2360178,2410422,2479027,2578595,2597584,2644501,2604948,2829012
 "01000","Alabama",5,SAACArtsComp,100,"..."," Core arts and cultural production ","Thousands of dollars",241073,252600,259430,264303,278615,295889,309526,329560,321151,298880,287800,306351,301954,321737,325114,338850,363046,397358,414816,418323,473028
 "01000","Alabama",5,SAACArtsComp,111,"...","  Performing arts companies ","Thousands of dollars",22669,19594,19321,20310,19991,19155,18475,19054,20736,20601,21298,19791,18744,20020,19191,20502,(D),(D),20805,(D),21123
 "01000","Alabama",5,SAACArtsComp,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",5440,10254,10348,7957,8081,8984,9242,10470,13899,14484,16141,19761,21085,22037,21202,23473,16991,17411,17366,10520,22930
 "01000","Alabama",5,SAACArtsComp,113,"...","  Agents/managers for artists ","Thousands of dollars",715,516,608,643,577,616,808,768,1019,1213,787,768,1079,1075,1006,1063,1027,1121,1560,1820,2442
 "01000","Alabama",5,SAACArtsComp,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",5712,5780,8279,7682,10606,10682,8082,9514,9006,8037,7712,7121,9964,7651,8670,10355,11813,13845,14621,13757,11102
 "01000","Alabama",5,SAACArtsComp,120,"...","  Museums ","Thousands of dollars",7364,15051,(D),(D),(D),18061,(D),(D),(D),20488,(D),25213,25117,(D),(D),26457,26151,28849,31280,31673,32403
 "01000","Alabama",5,SAACArtsComp,131,"...","  Advertising ","Thousands of dollars",38959,37313,38593,43611,46619,49552,50912,54545,47298,47930,46134,46497,(D),48433,48974,(D),54953,58794,59027,55183,61296
 "01000","Alabama",5,SAACArtsComp,132,"...","  Architectural services ","Thousands of dollars",65629,64044,70448,72761,80597,90663,101766,105882,97894,78571,74925,75874,77907,76581,82212,82980,97728,107948,115601,126108,135123
 "01000","Alabama",5,SAACArtsComp,133,"...","  Landscape architectural services ","Thousands of dollars",5940,5618,6114,4063,3700,4775,4918,5092,5091,6685,6050,6207,6472,8293,7463,8027,8582,8752,8640,10716,10053
 "01000","Alabama",5,SAACArtsComp,134,"...","  Interior design services ","Thousands of dollars",5481,5024,5063,5232,5152,5965,7271,5975,4717,4917,4252,5882,4329,6286,7086,8957,10046,12979,15507,16153,19882
 "01000","Alabama",5,SAACArtsComp,135,"...","  Industrial design services ","Thousands of dollars",728,570,706,476,536,897,837,3695,3746,3729,3473,3690,1584,2195,2123,2339,3035,2357,2055,2009,3326
 "01000","Alabama",5,SAACArtsComp,136,"...","  Graphic design services ","Thousands of dollars",6903,6738,7210,8315,8680,9164,9356,10639,9910,9916,8415,11107,9464,14613,16401,17048,21008,23608,25160,25643,33784
 "01000","Alabama",5,SAACArtsComp,137,"...","  Computer systems design ","Thousands of dollars",9240,9715,10837,10994,11105,11525,13287,16400,16954,17665,18257,20287,18862,20030,20713,20421,21291,22264,21394,22019,21271
 "01000","Alabama",5,SAACArtsComp,138,"...","  Photography and photofinishing services ","Thousands of dollars",42418,45005,40870,37179,34564,31135,30442,30983,31447,28601,(D),(D),(D),(D),(D),(D),(D),(D),29491,26515,42721
 "01000","Alabama",5,SAACArtsComp,139,"...","  All other design services ","Thousands of dollars",764,876,716,923,899,942,1072,1212,1107,897,964,1287,1093,1518,1245,984,1620,1816,1845,1624,2237
 "01000","Alabama",5,SAACArtsComp,140,"...","  Fine arts education ","Thousands of dollars",7447,6607,(D),(D),(D),12753,(D),(D),(D),13250,12751,(D),(D),12425,12775,13419,15235,17653,19261,(D),18604
 "01000","Alabama",5,SAACArtsComp,150,"...","  Education services ","Thousands of dollars",15665,19895,19077,19615,20821,21020,20282,20767,22371,21896,22468,23881,24913,26240,27745,27450,27696,30019,31203,32758,34731
 "01000","Alabama",5,SAACArtsComp,200,"..."," Supporting arts and cultural production ","Thousands of dollars",1999817,2129343,2051824,2070527,2064654,1986953,1940876,1939406,1873160,1918185,1958798,1906761,1928358,1926468,1966325,2017786,2094476,2076964,2103209,2064019,2218623
 "01000","Alabama",5,SAACArtsComp,211,"...","  Rental and leasing ","Thousands of dollars",20839,32342,28529,29954,26224,27533,23974,17766,15577,14661,10231,10031,10224,10416,11020,10227,9452,10232,10194,9055,9875
 "01000","Alabama",5,SAACArtsComp,212,"...","  Grantmaking and giving services ","Thousands of dollars",1106,1314,1670,1678,1978,1519,1763,1648,1863,1637,1942,1543,1767,1955,2354,2285,2561,2678,3271,2763,2543
 "01000","Alabama",5,SAACArtsComp,213,"...","  Unions ","Thousands of dollars",4360,3339,3730,3998,4245,4881,4427,4774,5027,4790,4954,4440,4830,4891,4913,5030,5234,5434,5775,5956,6634
 "01000","Alabama",5,SAACArtsComp,214,"...","  Government ","Thousands of dollars",1024106,1048378,997527,931648,888832,832728,790948,837095,871233,889036,895377,873704,891207,910244,931065,939135,935875,960623,997291,1017322,1045171
 "01000","Alabama",5,SAACArtsComp,215,"...","  Other support services ","Thousands of dollars",604,446,530,567,511,679,809,775,(D),(D),602,624,564,593,674,619,873,973,1065,478,753
 "01000","Alabama",5,SAACArtsComp,221,"...","  Publishing ","Thousands of dollars",147627,148292,166576,169449,171365,172503,181256,182569,173523,154026,(D),(D),(D),(D),(D),(D),166104,(D),197298,197982,253953
 "01000","Alabama",5,SAACArtsComp,222,"...","  Motion pictures ","Thousands of dollars",25015,26857,31050,29376,29683,32211,34879,35130,38138,37304,37668,35600,32705,37842,44438,42128,48203,46434,69932,36695,47984
 "01000","Alabama",5,SAACArtsComp,223,"...","  Sound recording ","Thousands of dollars",2353,1971,1702,2310,2171,(D),2729,3737,3853,3008,2952,3302,3382,4935,5532,5253,5285,5728,(D),3472,4386
 "01000","Alabama",5,SAACArtsComp,224,"...","  Broadcasting ","Thousands of dollars",(D),(D),(D),(D),(D),360039,365096,371287,362859,356223,388936,385108,396964,409924,407607,403637,379824,382137,376503,362716,381222
