GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",83582,119471,90134,95566,106935,110137,95962,114453,124874,112392
 "02000","Alaska",8,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",14509,14258,14840,15844,16513,18650,20643,20723,5160,13137
 "02000","Alaska",8,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",5992,5886,6158,6546,6969,7596,7932,8103,5647,6915
 "02000","Alaska",8,SAOVA,19,"...","   Educational services ","Thousands of dollars",4331,4247,4470,4705,5029,5591,5918,6007,3848,4778
 "02000","Alaska",8,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",1662,1639,1687,1841,1940,2004,2014,2095,1799,2137
 "02000","Alaska",8,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",461382,477813,490344,559299,550080,596385,604592,623330,392826,556608
 "02000","Alaska",8,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",123385,125386,132256,130110,130359,139622,142067,144022,96972,106873
 "02000","Alaska",8,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",337997,352427,358088,429189,419721,456763,462525,479308,295854,449735
 "02000","Alaska",8,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",18667,18695,18808,18211,17553,18439,17010,17101,17794,18364
 "02000","Alaska",8,SAOVA,25,"..."," Government ","Thousands of dollars",218732,233256,251614,285040,308943,332481,370983,389921,305406,321344
 "02000","Alaska",8,SAOVA,26,"...","  Federal ","Thousands of dollars",36142,37925,37328,37643,39422,39906,40624,30776,26536,28381
 "02000","Alaska",8,SAOVA,27,"...","  State and local ","Thousands of dollars",182589,195331,214285,247397,269520,292575,330359,359145,278871,292963
 "04000","Arizona",6,SAOVA,1,"...","All industries ","Thousands of dollars",7256410,7585860,7957761,8441309,8749448,9161364,9462229,9899151,7373321,9822481
 "04000","Arizona",6,SAOVA,2,"..."," Private industries ","Thousands of dollars",6825463,7115541,7459224,7910166,8198700,8586075,8858951,9292461,6758460,9169500
 "04000","Arizona",6,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",71902,82663,76794,75444,83238,99208,96842,95288,82643,93397
 "04000","Arizona",6,SAOVA,4,"...","  Mining ","Thousands of dollars",1253,1021,829,542,500,1017,1387,1110,805,1276
 "04000","Arizona",6,SAOVA,5,"...","  Utilities ","Thousands of dollars",20,20,18,22,16,18,13,12,17,15
 "04000","Arizona",6,SAOVA,6,"...","  Construction ","Thousands of dollars",93713,93591,95942,89776,94644,105335,126538,143113,146459,138187
 "04000","Arizona",6,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",273565,286798,277164,288626,335393,332941,361972,385711,445849,539885
 "04000","Arizona",6,SAOVA,8,"...","   Durable goods ","Thousands of dollars",193463,204640,193808,200914,244826,240629,266458,282320,329487,402360
 "04000","Arizona",6,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",80102,82158,83356,87712,90568,92312,95513,103391,116362,137525
 "04000","Arizona",6,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",470704,453562,465278,483635,466777,465478,478476,491009,457584,521884
 "04000","Arizona",6,SAOVA,11,"...","  Retail trade ","Thousands of dollars",1888114,1959861,1991181,2069591,2061557,2166960,2183905,2249559,2261701,2752523
 "04000","Arizona",6,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",951109,957817,1174044,1237798,1346349,1397603,1403214,1600304,573309,1115327
 "04000","Arizona",6,SAOVA,13,"...","  Information ","Thousands of dollars",16805,18297,19118,21086,22305,23160,24331,25237,27250,44221
 "04000","Arizona",6,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",573743,781248,619140,656312,673192,672548,723897,752042,719650,761486
 "04000","Arizona",6,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",51161,46499,55981,62279,64371,60332,64609,70645,70094,69675
 "04000","Arizona",6,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",522581,734749,563159,594033,608820,612215,659288,681398,649556,691811
 "04000","Arizona",6,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",205281,199666,208325,227160,243489,277147,301054,284109,65750,157026
 "04000","Arizona",6,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",45400,44043,47130,48662,52167,55460,59443,62274,46245,57647
 "04000","Arizona",6,SAOVA,19,"...","   Educational services ","Thousands of dollars",34988,33944,36437,37447,40270,42601,46109,48089,33633,41632
 "04000","Arizona",6,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",10412,10099,10693,11215,11897,12859,13334,14185,12613,16015
 "04000","Arizona",6,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",2147564,2148682,2391638,2615281,2718882,2887638,2995876,3092572,1810665,2851441
 "04000","Arizona",6,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",757505,779439,853532,872800,934879,990670,1031541,1064700,659022,809747
 "04000","Arizona",6,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",1390059,1369243,1538106,1742481,1784002,1896967,1964334,2027872,1151643,2041694
 "04000","Arizona",6,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",86291,88273,92624,96233,100190,101562,102003,110120,120532,135184
 "04000","Arizona",6,SAOVA,25,"..."," Government ","Thousands of dollars",430946,470319,498537,531143,550748,575289,603278,606689,614861,652981
 "04000","Arizona",6,SAOVA,26,"...","  Federal ","Thousands of dollars",98475,105961,100708,101535,108377,115050,123021,91283,79458,84162
 "04000","Arizona",6,SAOVA,27,"...","  State and local ","Thousands of dollars",332472,364358,397829,429608,442371,460239,480257,515407,535403,568819
 "05000","Arkansas",5,SAOVA,1,"...","All industries ","Thousands of dollars",2599730,2707382,2726183,2819897,2919824,2943189,3047937,3127038,2877270,3539761
 "05000","Arkansas",5,SAOVA,2,"..."," Private industries ","Thousands of dollars",2437729,2535344,2546027,2632531,2727008,2747233,2846513,2929767,2677082,3322435
 "05000","Arkansas",5,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",76586,84467,82994,82345,94817,107382,104953,106021,96160,115221
 "05000","Arkansas",5,SAOVA,4,"...","  Mining ","Thousands of dollars",1558,1520,1553,1029,847,971,1026,842,614,1042
 "05000","Arkansas",5,SAOVA,5,"...","  Utilities ","Thousands of dollars",4,4,4,4,3,4,3,3,3,3
 "05000","Arkansas",5,SAOVA,6,"...","  Construction ","Thousands of dollars",27736,26031,28995,32831,36590,44066,54690,67412,71344,67636
 "05000","Arkansas",5,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",418952,444622,458541,469810,468579,459886,474458,469151,495986,574306
 "05000","Arkansas",5,SAOVA,8,"...","   Durable goods ","Thousands of dollars",189181,203787,214261,227360,244190,232397,248909,244078,261395,293496
 "05000","Arkansas",5,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",229771,240835,244280,242449,224389,227489,225549,225073,234591,280810
 "05000","Arkansas",5,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",306122,298041,307157,319745,307229,303242,305127,310855,287828,331412
 "05000","Arkansas",5,SAOVA,11,"...","  Retail trade ","Thousands of dollars",737423,766907,763764,788765,803121,833315,835702,848467,879625,1040360
 "05000","Arkansas",5,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",182298,175455,180022,172972,190809,163835,188408,214549,171848,260676
 "05000","Arkansas",5,SAOVA,13,"...","  Information ","Thousands of dollars",13492,13766,13709,13730,13473,14033,14062,13959,14388,18179
 "05000","Arkansas",5,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",145217,186324,146395,154038,177425,175189,186433,188933,187544,195701
 "05000","Arkansas",5,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",24222,21926,26015,28488,28946,26760,27974,30292,29950,29841
 "05000","Arkansas",5,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",120995,164398,120381,125550,148478,148429,158459,158642,157594,165860
 "05000","Arkansas",5,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",21559,21860,24655,27332,29345,28981,29935,26976,20155,23533
